truth,predict
5.702605711,6.352637691
6.063413449,7.313753902
6.404842363999999,7.131771986
6.788083222000001,12.42776968
7.861187715,8.717957045
7.934872992000001,7.950131569
8.748970179,7.910687912999999
9.63948555,10.40434901
9.903385737999999,16.80629572
10.49708154,11.92001236
11.12583075,12.39055939
11.52937088,12.0815821
12.05044388,13.28528695
12.18658186,10.77695994
13.18788191,11.84614693
13.37012477,16.35550334
13.89020059,14.491293300000002
14.93407756,13.04993877
15.19813631,18.59000119
16.46572263,17.21992978
17.4608159,17.86519952
17.48030047,18.64717622
17.61683835,19.89404466
17.90312419,20.58309688
18.01685272,18.61189461
20.18018027,19.43078984
21.94836558,21.05539693
23.01956829,22.87986782
25.34278329,26.413696100000003
25.43328788,28.10122682
26.36772349,24.69726919
29.22451131,26.14567889
30.12463135,38.667215999999996
35.8835797,44.09446938
36.43282565,34.01186779
36.44491235,41.63201479
36.89477084,33.27852876
42.2909006,43.53846608
42.35774861,44.89569405
46.46724392,54.46938497
47.88742336,53.89736625
50.76684115,72.09611808
51.87905549,54.87558043
52.19937304,70.27268137
66.92157596,58.174080200000006
