truth,predict
16.46572263,17.21992978
10.49708154,11.92001236
9.63948555,10.40434901
42.35774861,44.89569405
6.063413449,7.313753902
26.36772349,24.69726919
7.934872992,7.950131569
51.87905549,54.87558043
7.861187715,8.717957045
13.37012477,16.35550334
14.93407756,13.04993877
20.18018027,19.43078984
21.94836558,21.05539693
5.702605711,6.352637691
13.89020059,14.4912933
15.19813631,18.59000119
13.18788191,11.84614693
23.01956829,22.87986782
12.05044388,13.28528695
30.12463135,38.667216
46.46724392,54.46938497
17.4608159,17.86519952
36.43282565,34.01186779
42.2909006,43.53846608
50.76684115,72.09611808
12.18658186,10.77695994
52.19937304,70.27268137
17.48030047,18.64717622
66.92157596,58.1740802
17.61683835,19.89404466
25.43328788,28.10122682
11.12583075,12.39055939
17.90312419,20.58309688
6.788083222,12.42776968
35.8835797,44.09446938
18.01685272,18.61189461
36.44491235,41.63201479
6.404842364,7.131771986
8.748970179,7.910687913
29.22451131,26.14567889
47.88742336,53.89736625
11.52937088,12.0815821
36.89477084,33.27852876
9.903385738,16.80629572
25.34278329,26.4136961
