n [count],α [°],L [mm],H [mm],b [mm],Ls [mm],d [mm],2π/n [rad],γ [N/mm3],Pmax [N],δ(Pmax) [mm],γAH' [N],Vroot [mm3],P0 [N],DR [ ],Material,d50 [mm],φ [°]
6,75,25.881905,120.0,25.0,113.30127,5.0,1.0471975511965976,1.622752809e-05,36.432825650095,2.8539135199999994,3.7523747396519957,5029.203319255767,9.674981013774998,0.8,F110,0.12,39.33
6,75,25.881905,150.0,25.0,143.30127,5.0,1.0471975511965976,1.622752809e-05,59.55683280022,4.313054619999998,4.708255046529483,5618.251941803854,11.04808166882,0.8,F110,0.12,39.33
2,90,25.0,90.0,25.0,90.0,5.0,3.141592653589793,1.622752809e-05,12.282388972947716,0.6235928599999983,2.8676409206324625,2722.6416382795096,2.975464793703678,0.8,F110,0.12,39.33
3,90,25.0,90.0,25.0,90.0,5.0,2.0943951023931953,1.622752809e-05,14.231688743282286,0.7827924399999979,2.8676409206324625,3180.700573388465,3.3248503311591118,0.8,F110,0.12,39.33
6,90,25.0,90.0,25.0,90.0,5.0,1.0471975511965976,1.622752809e-05,16.455980569839703,1.1197844000000017,2.8676409206324625,4476.121577880652,4.749185041276954,0.8,F110,0.12,39.33
9,90,25.0,90.0,25.0,90.0,5.0,0.6981317007977318,1.622752809e-05,17.480300468688483,2.7820975600000013,2.8676409206324625,5653.408881120821,5.627153381891208,0.8,F110,0.12,39.33
12,90,25.0,90.0,25.0,90.0,5.0,0.5235987755982988,1.622752809e-05,17.46081590037512,0.3685133599999994,2.8676409206324625,6712.562483108972,5.04181698611552,0.8,F110,0.12,39.33
F,90,12.5,60.0,12.5,60.0,5.0,0.0,1.622752809e-05,6.063413449065,0.3437864600000004,12.686553756655917,3632.466505713199,1.3579395741449996,0.8,F110,0.12,39.33
F,90,25.0,60.0,25.0,60.0,5.0,0.0,1.622752809e-05,9.903385737594999,0.29858461999999775,5.1802436279630815,10995.574287564277,4.423190435334998,0.8,F110,0.12,39.33
F,90,37.5,60.0,37.5,60.0,5.0,0.0,1.622752809e-05,15.186153562054997,0.2826359599999974,3.530463769665571,23267.420590649406,8.77216414347,0.8,F110,0.12,39.33
F,90,50.0,60.0,50.0,60.0,5.0,0.0,1.622752809e-05,22.715467014449995,0.32821626000000104,2.97049050637066,40448.00541496859,13.390614786955,0.8,F110,0.12,39.33
F,90,25.0,90.0,25.0,90.0,5.0,0.0,1.622752809e-05,19.646066084207256,0.30650942000000003,2.8676409206324625,11584.622910112363,7.451502903278116,0.8,F110,0.12,39.33
F,90,12.5,90.0,12.5,90.0,5.0,0.0,1.622752809e-05,13.475755141589996,0.4264558400000018,18.79699099651277,4221.515128261285,2.4002834993199986,0.8,F110,0.12,39.33
F,90,25.0,90.0,25.0,90.0,5.0,0.0,1.622752809e-05,20.975132814195,0.29990541999999626,7.314420945551615,11584.622910112363,6.901769247589998,0.8,F110,0.12,39.33
F,90,37.5,90.0,37.5,90.0,5.0,0.0,1.622752809e-05,29.868635618779997,0.3453917399999958,4.62922295061071,23856.469213197495,13.96511286058,0.8,F110,0.12,39.33
F,90,50.0,90.0,50.0,90.0,5.0,0.0,1.622752809e-05,43.42549567853,0.3874795399999963,3.7858205473083117,41037.054037516675,21.172559311329998,0.8,F110,0.12,39.33
F,90,12.5,120.0,12.5,120.0,5.0,0.0,1.622752809e-05,27.26186525839,1.4926386199999977,28.520166240734234,4810.563750809371,3.172208070079998,0.8,F110,0.12,39.33
F,90,25.0,120.0,25.0,120.0,5.0,0.0,1.622752809e-05,36.405197375049994,0.38823391999999685,9.521379693963071,12173.67153266045,9.80982147061,0.8,F110,0.12,39.33
F,90,37.5,120.0,37.5,120.0,5.0,0.0,1.622752809e-05,50.193183503995,0.5463006600000005,5.834433818969313,24445.51783574558,16.88907735389,0.8,F110,0.12,39.33
F,90,50.0,120.0,50.0,120.0,5.0,0.0,1.622752809e-05,70.16964630878999,0.593016339999996,4.588025156230638,41626.10266006476,26.459064450105,0.8,F110,0.12,39.33
F,90,37.5,150.0,37.5,150.0,5.0,0.0,1.622752809e-05,76.94761934877499,0.7516520399999992,7.1554862437755125,25034.566458293666,20.324845026709998,0.8,F110,0.12,39.33
F,90,50.0,150.0,50.0,150.0,5.0,0.0,1.622752809e-05,96.60783926570001,0.8513064000000026,5.0533439474908,42215.15128261285,33.27071744884999,0.8,F110,0.12,39.33
3,30,62.5,112.5,31.25,58.373412,6.25,2.0943951023931953,1.622752809e-05,23.019568288954993,3.752717070696592,4.702622643668906,7312.571928023206,4.592529706204999,0.8,F110,0.12,39.33
3,60,36.084392,112.5,31.25,94.457804,6.25,2.0943951023931953,1.622752809e-05,25.092953975179995,1.8490742800000008,5.301448329963154,6085.8830149056985,5.462505086324999,0.8,F110,0.12,39.33
6,60,36.084392,112.5,31.25,94.457804,6.25,1.0471975511965976,1.622752809e-05,33.039286392840005,1.2594539199999968,5.301448329963154,9007.412975046625,10.430187207614999,0.8,F110,0.12,39.33
3,30,75.0,135.0,37.5,70.048095,7.5,2.0943951023931953,1.622752809e-05,36.894770840339994,5.989784692111351,8.126131928259868,12636.1242916241,5.526257137309999,0.8,F110,0.12,39.33
6,30,75.0,135.0,37.5,70.048095,7.5,1.0471975511965976,1.622752809e-05,45.069626642284994,2.288171700000001,8.126131928259868,21380.216071946365,9.086513367225,0.8,F110,0.12,39.33
3,60,43.30127,135.0,37.5,113.34936,7.5,2.0943951023931953,1.622752809e-05,41.345577782739994,2.8469310599999944,9.16090271417633,10516.405805578399,10.095738274019999,0.8,F110,0.12,39.33
6,60,43.30127,135.0,37.5,113.34936,7.5,1.0471975511965976,1.622752809e-05,52.00085800847,1.5513354800000005,9.16090271417633,15564.809523687549,14.704454836715,0.8,F110,0.12,39.33
3,30,87.5,157.5,43.75,81.722777,8.75,2.0943951023931953,1.622752809e-05,52.030284823125,6.94925458,12.90399653422748,20065.697370495676,10.53120845126,0.8,F110,0.12,39.33
6,30,87.5,157.5,43.75,81.722777,8.75,1.0471975511965976,1.622752809e-05,66.92157595564,5.244002719999999,12.903996534227478,33950.99126239631,14.58871969541,0.8,F110,0.12,39.33
3,60,50.518149,157.5,43.75,132.24093,8.75,2.0943951023931953,1.622752809e-05,63.10220351609999,2.884868499999997,14.547174217418897,16699.66302296726,14.920036973394,0.8,F110,0.12,39.33
6,60,50.518149,157.5,43.75,132.24093,8.75,1.0471975511965976,1.622752809e-05,80.171990951535,1.6066363600000002,14.547174217418895,24716.341269673194,21.283577453985,0.8,F110,0.12,39.33
6,30,100.0,180.0,50.0,93.39746,10.0,1.0471975511965976,1.622752809e-05,94.663950392725,5.205498860000005,19.261942348467834,50679.03068905805,21.632566707535002,0.8,F110,0.12,39.33
3,60,57.735027,180.0,50.0,151.13249,10.0,2.0943951023931953,1.622752809e-05,91.24801470819999,4.213961599999996,21.714732359529076,24927.77678978383,15.646989620185,0.8,F110,0.12,39.33
6,60,57.735027,180.0,50.0,151.13249,10.0,1.0471975511965976,1.622752809e-05,111.39337450395,1.933905200000001,21.71473235952908,36894.36345939719,85.96256966828999,0.8,F110,0.12,39.33
3,30,50.0,90.0,25.0,46.69872981077806,5.0,2.0943951023931953,1.533716814e-05,7.110014303047688,1.4675357999999992,2.27563655153591,3744.036827147881,1.2761375825402999,0.5,F110,0.12,30.8
3,30,50.0,120.0,25.0,76.69872981077806,5.0,2.0943951023931953,1.533716814e-05,11.66590876131714,3.4734474600000023,3.179070328201449,4333.085449695967,2.963877607438015,0.5,F110,0.12,30.8
6,30,50.0,90.0,25.0,46.69872981077806,5.0,1.0471975511965976,1.533716814e-05,8.748970178652105,0.652940019999999,2.27563655153591,6334.878836132256,2.1346209100185054,0.5,F110,0.12,30.8
6,30,50.0,120.0,25.0,76.69872981077806,5.0,1.0471975511965976,1.533716814e-05,15.363319447285697,1.8160415800000027,3.1790703282014485,6923.927458680342,4.339428168262558,0.5,F110,0.12,30.8
F,30,50.0,90.0,25.0,46.69872981077806,5.0,0.0,1.533716814e-05,11.66590876131714,0.3584117800000008,2.27563655153591,20595.51473189553,5.4125326612273295,0.5,F110,0.12,30.8
3,45,35.3553,90.0,25.0,65.0,5.0,2.0943951023931953,1.533716814e-05,7.900229357741922,0.9772878599999973,2.459347503145079,3275.3384930563802,2.027310549686568,0.5,F110,0.12,30.8
3,45,35.3553,120.0,25.0,95.0,5.0,2.0943951023931953,1.533716814e-05,12.953633530123103,1.7557394399999986,3.3627812798106187,3864.3871156044665,2.915093458144712,0.5,F110,0.12,30.8
6,45,35.3553,90.0,25.0,65.0,5.0,1.0471975511965976,1.533716814e-05,9.870858376087488,0.5141213999999988,2.459347503145079,5107.338145807912,3.5199144222337626,0.5,F110,0.12,30.8
6,45,35.3553,120.0,25.0,95.0,5.0,1.0471975511965976,1.533716814e-05,17.93884149099618,1.1507393799999994,3.3627812798106187,5696.386768355997,4.953991638919631,0.5,F110,0.12,30.8
F,45,35.3553,90.0,25.0,65.0,5.0,0.0,1.533716814e-05,11.100057378677505,0.2569667200000009,2.459347503145079,15206.531093064583,5.753948310536511,0.5,F110,0.12,30.8
3,60,28.8675,90.0,25.0,75.56624327025935,5.0,2.0943951023931953,1.533716814e-05,8.739227672084079,0.8386597400000012,2.565413070509715,3115.9714360432786,2.5834198705808697,0.5,F110,0.12,30.8
6,60,28.8675,90.0,25.0,75.56624327025935,5.0,1.0471975511965976,1.533716814e-05,10.036695392280755,0.6550177399999995,2.565413070509715,4611.793974529307,4.007754580698716,0.5,F110,0.12,30.8
F,60,28.8675,90.0,25.0,75.56624327025935,5.0,0.0,1.533716814e-05,11.529370881281128,0.27933141999999683,2.5654130705097145,12895.55027804501,5.988126105612305,0.5,F110,0.12,30.8
3,90,25.0,90.0,25.0,90.0,5.0,2.0943951023931953,1.533716814e-05,7.861187715016644,2.1475573000000012,2.710301329996618,3180.700573388465,2.524893214719544,0.5,F110,0.12,30.8
6,90,25.0,90.0,25.0,90.0,5.0,1.0471975511965976,1.533716814e-05,10.59280426835237,1.6211677000000022,2.710301329996618,4476.121577880652,4.329685661694532,0.5,F110,0.12,30.8
F,90,50.0,60.0,50.0,60.0,5.0,0.0,1.533716814e-05,15.198136307690001,0.1988337400000001,2.1028293246606875,40448.00541496859,10.892366253773668,0.5,F110,0.12,30.8
F,90,25.0,90.0,25.0,90.0,5.0,0.0,1.533716814e-05,12.153676858506229,0.31038037999999857,2.710301329996618,11584.622910112363,6.544162920408053,0.5,F110,0.12,30.8
F,90,25.0,90.0,25.0,90.0,5.0,0.0,1.533716814e-05,13.187881911505,0.21421851999999836,4.865836047655062,11584.622910112363,4.950784282675,0.5,F110,0.12,30.8
F,90,50.0,90.0,50.0,90.0,5.0,0.0,1.533716814e-05,30.124631352374994,0.2778226600000014,2.778716061842152,41037.054037516675,16.834048377514243,0.5,F110,0.12,30.8
F,90,12.5,120.0,12.5,120.0,5.0,0.0,1.533716814e-05,14.965006739900002,1.9031432599999973,16.564586277849788,4810.563750809371,1.6517054334216679,0.5,F110,0.12,30.8
F,90,25.0,120.0,25.0,120.0,5.0,0.0,1.533716814e-05,22.573030326524997,0.32510222000000455,6.246454059377551,12173.67153266045,6.534560219005002,0.5,F110,0.12,30.8
F,90,37.5,150.0,37.5,150.0,5.0,0.0,1.533716814e-05,52.199373043755,0.9541687800000008,5.1358986019777255,25034.566458293666,18.20985232041294,0.5,F110,0.12,30.8
3,30,50.0,90.0,25.0,46.69873,5.0,2.0943951023931953,1.534730914e-05,5.702605711267501,1.028529819999996,2.277141211982902,3744.036827147881,1.0075668964795006,0.8,GB,0.1,27.34
6,30,50.0,90.0,25.0,46.69873,5.0,1.0471975511965976,1.534730914e-05,7.934872992134269,0.6818198200000032,2.277141211982902,6334.878836132256,2.1080257160199998,0.8,GB,0.1,27.34
3,45,35.355339,90.0,25.0,65.0,5.0,2.0943951023931953,1.534730914e-05,6.3970065563144995,0.7583500199999957,2.4609736340449784,3275.3402488696497,1.0311100153340003,0.8,GB,0.1,27.34
6,45,35.355339,90.0,25.0,65.0,5.0,1.0471975511965976,1.534730914e-05,9.017665388633999,0.49487073999999937,2.4609736340449784,5107.342198910809,2.5425167973240006,0.8,GB,0.1,27.34
3,60,28.867513,90.0,25.0,75.566243,5.0,2.0943951023931953,1.534730914e-05,7.1943801291299,0.6158534799999971,2.567109332408298,3115.9720741792867,1.3694771959365002,0.8,GB,0.1,27.34
6,60,28.867513,90.0,25.0,75.566243,5.0,1.0471975511965976,1.534730914e-05,10.002382300281,0.4502353200000003,2.567109332408298,4611.795378428524,3.8499007371230003,0.8,GB,0.1,27.34
3,75,25.881905,90.0,25.0,83.30127,5.0,2.0943951023931953,1.534730914e-05,8.383098190658101,0.5822568999999967,2.6448060561070537,3099.036158305483,2.6837461885675005,0.8,GB,0.1,27.34
6,75,25.881905,90.0,25.0,83.30127,5.0,1.0471975511965976,1.534730914e-05,11.2862303781465,0.3940860799999959,2.6448060561070537,4440.154696707681,3.6380493443035,0.8,GB,0.1,27.34
F,90,50.0,60.0,50.0,60.0,5.0,0.0,1.534730914e-05,14.507070508175001,0.1390065799999971,2.0058864696057555,40448.00541496859,9.464497581532367,0.8,GB,0.1,27.34
F,90,25.0,90.0,25.0,90.0,5.0,0.0,1.534730914e-05,11.12583075135,0.19742149999999897,4.102303697070652,11584.622910112363,5.106443276795001,0.8,GB,0.1,27.34
F,90,50.0,90.0,50.0,90.0,5.0,0.0,1.534730914e-05,27.10879521987,0.18203925999999654,2.498881057491144,41037.054037516675,15.555964294885001,0.8,GB,0.1,27.34
F,90,12.5,120.0,12.5,120.0,5.0,0.0,1.534730914e-05,12.1582454434,1.8341619399999964,13.448923414451604,4810.563750809371,0.9866982773873089,0.8,GB,0.1,27.34
F,90,25.0,120.0,25.0,120.0,5.0,0.0,1.534730914e-05,19.678395562035004,0.3228390799999973,5.4418467710889535,12173.67153266045,6.390095241273801,0.8,GB,0.1,27.34
F,90,37.5,150.0,37.5,150.0,5.0,0.0,1.534730914e-05,44.422068045494996,0.6310477599999968,4.3678012137642535,25034.566458293666,14.277479135129324,0.8,GB,0.1,27.34
3,30,50.0,90.0,25.0,46.69873,5.0,2.0943951023931953,1.513421783e-05,5.1808277957765,1.08637832,2.245524007983816,3744.036827147881,0.8045453132534996,0.55,GB,0.1,26.6
6,30,50.0,90.0,25.0,46.69873,5.0,1.0471975511965976,1.513421783e-05,7.030587322980199,0.6010376599999983,2.245524007983816,6334.878836132256,1.8736109867474995,0.55,GB,0.1,26.6
3,45,35.355339,90.0,25.0,65.0,5.0,2.0943951023931953,1.513421783e-05,6.2243842151574995,0.6651142400000007,2.4268039896616953,3275.3402488696497,1.238049747501,0.55,GB,0.1,26.6
6,45,35.355339,90.0,25.0,65.0,5.0,1.0471975511965976,1.513421783e-05,8.525307030877,0.4987417000000035,2.4268039896616953,5107.342198910809,1.8196757846785003,0.55,GB,0.1,26.6
3,60,28.867513,90.0,25.0,75.566243,5.0,2.0943951023931953,1.513421783e-05,6.404842363863999,0.5546064599999997,2.5314660358821093,3115.9720741792867,1.4695191475124993,0.55,GB,0.1,26.6
6,60,28.867513,90.0,25.0,75.566243,5.0,1.0471975511965976,1.513421783e-05,8.993143075776999,0.3750259199999949,2.5314660358821093,4611.795378428524,3.0554584308324992,0.55,GB,0.1,26.6
