α [°],b [mm],H/2b [ ],Ls [mm],2π/n [rad],γAH' [N],P0 [N],f
15,19.4114,2.3182,17.55556302831988,2.0943951023931957,1.2649815809964386,0.04693902477297509,0.7987987987987988
15,12.940999999999999,3.4773,41.703708685546594,2.0943951023931957,0.6309417572476642,0.15424938510491631,0.7827827827827828
15,19.4114,2.3182,17.55556302831988,1.0471975511965976,1.2649815809964386,0.7200287064686859,0.8878878878878879
15,12.940999999999999,3.4773,41.703708685546594,1.0471975511965976,0.6309417572476642,1.032217725719171,0.8878878878878879
15,19.4114,2.3182,17.55556302831988,0.0,1.2649815809964386,2.017568487941233,0.955955955955956
30,25.0,1.8,46.69872981077806,3.1415926535897927,2.4077427935584788,0.34148815540773536,0.6576576576576577
30,25.0,1.2,16.69872981077806,2.0943951023931957,1.4518624866809922,1.5395424524974817,0.8068068068068068
30,37.5,1.2,25.048094716167103,2.0943951023931957,4.900035892548349,1.2761375825403,0.7067067067067067
30,25.0,1.8,46.69872981077806,2.0943951023931957,2.4077427935584788,1.471273735,0.7367367367367368
30,25.0,1.8,46.69873,2.0943951023931957,2.4077427935584788,2.4328356933299995,0.7727727727727728
30,25.0,2.4,76.69872981077806,2.0943951023931957,3.3636231004359667,2.9150934581447117,0.6336336336336337
30,25.0,2.4,76.69873,2.0943951023931957,3.3636231004359667,4.523873349554999,0.6676676676676677
30,25.0,3.0,106.69873,2.0943951023931957,4.319503407313453,5.215328473075,0.5365365365365365
30,25.0,1.2,16.69872981077806,1.0471975511965976,1.4518624866809922,0.2030335343982196,0.9039039039039038
30,37.5,1.2,25.048094716167103,1.0471975511965976,4.900035892548348,2.7102147992261676,0.7977977977977978
30,25.0,1.8,46.69872981077806,1.0471975511965976,2.4077427935584788,3.237024539140532,0.8438438438438438
30,25.0,2.4,76.69872981077806,1.0471975511965976,3.3636231004359667,3.94915586356152,0.7677677677677678
30,25.0,2.4,76.69873,1.0471975511965976,3.363623100435968,7.764408272844999,0.8048048048048048
30,25.0,3.0,106.69873,1.0471975511965976,4.319503407313453,9.977065060375,0.7227227227227228
30,25.0,1.8,46.69872981077806,0.6981317007977318,2.4077427935584788,4.241860314498643,0.9339339339339341
30,25.0,1.8,46.69872981077806,0.5235987755982988,2.4077427935584788,5.236953138466041,0.94994994994995
30,25.0,1.8,46.69872981077806,0.0,2.4077427935584788,5.958826969455055,0.9829829829829828
45,25.0,1.8,65.0,3.1415926535897927,2.602118613166494,0.8096991781849023,0.5395395395395396
45,25.0,1.2,35.0,2.0943951023931957,1.6462383062890062,2.222446702037085,0.8198198198198198
45,53.033,0.8485299999999999,36.966991411008934,2.0943951023931957,10.369720768245529,2.202890072447857,0.6636636636636637
45,35.3553,1.2728,54.644660940672615,2.0943951023931957,4.984261161403871,2.2809733578984117,0.7087087087087087
45,25.0,1.8,65.0,2.0943951023931957,2.602118613166494,2.3882837182303525,0.7367367367367368
45,25.0,1.8,65.0,2.0943951023931957,2.602118613166494,3.199809867169998,0.8188188188188188
45,25.0,2.4,95.0,2.0943951023931957,3.557998920043981,2.5346357212875668,0.6216216216216216
45,25.0,2.4,95.0,2.0943951023931957,3.557998920043981,6.266749433489999,0.6506506506506506
45,25.0,3.0,125.0,2.0943951023931957,4.5138792269214685,6.302060238144999,0.5295295295295295
45,25.0,1.2,35.0,1.0471975511965976,1.6462383062890062,2.7395143802061104,0.9439439439439441
45,53.033,0.8485299999999999,36.966991411008934,1.0471975511965976,10.369720768245529,5.188169433995428,0.8018018018018018
45,35.3553,1.2728,54.644660940672615,1.0471975511965976,4.984261161403871,4.388212317555862,0.8528528528528528
45,25.0,1.8,65.0,1.0471975511965976,2.602118613166494,3.7638342790548913,0.8978978978978979
45,25.0,1.8,65.0,1.0471975511965976,2.602118613166494,5.092730638099998,0.8808808808808809
45,25.0,2.4,95.0,1.0471975511965976,3.557998920043981,4.836938772019669,0.7827827827827828
45,25.0,2.4,95.0,1.0471975511965976,3.557998920043982,7.927221218139999,0.8088088088088088
45,25.0,3.0,125.0,1.0471975511965976,4.5138792269214685,9.283650568185001,0.6536536536536537
45,35.3553,1.2728,54.644660940672615,0.6981317007977318,4.984261161403871,5.5686267260298825,0.9139139139139141
45,25.0,1.8,65.0,0.6981317007977318,2.602118613166494,4.729628411687727,0.9389389389389391
45,35.3553,1.2728,54.644660940672615,0.5235987755982988,4.984261161403871,7.451502903278116,0.9439439439439441
45,25.0,1.8,65.0,0.5235987755982988,2.602118613166494,6.163705628373598,0.9689689689689691
45,35.3553,1.2728,54.644660940672615,0.0,4.984261161403871,11.373276371655885,0.993993993993994
45,25.0,1.8,65.0,0.0,2.602118613166494,6.82712486477715,0.947947947947948
60,25.0,1.8,75.56624327025935,3.1415926535897927,2.714341544941135,1.6681829504858,0.4904904904904905
60,43.3013,1.0392,65.0,2.0943951023931957,7.806366039683651,3.7150505745842795,0.7397397397397397
60,25.0,1.8,75.56624327025935,2.0943951023931957,2.714341544941135,2.9053509515766893,0.8238238238238238
60,25.0,1.8,75.566243,2.0943951023931957,2.714341544941135,3.4538354447799984,0.7427427427427428
60,25.0,2.4,105.56624,2.0943951023931957,3.6702218518186234,1.6717455094900002,0.6156156156156156
60,43.3013,1.0392,65.0,1.0471975511965976,7.806366039683651,6.271015988705536,0.8668668668668669
60,25.0,1.8,75.56624327025935,1.0471975511965976,2.714341544941135,4.35891273657592,0.9409409409409408
60,25.0,1.8,75.566243,1.0471975511965976,2.714341544941135,5.055460464774999,1.0
60,25.0,2.4,105.56624,1.0471975511965976,3.6702218518186225,8.901143165599999,0.8498498498498499
60,25.0,3.0,135.56624,1.0471975511965976,4.62610215869611,10.380170350619998,0.7987987987987988
60,25.0,1.8,75.56624327025935,0.0,2.714341544941135,6.885651075815788,0.9349349349349351
75,25.0,1.8,83.30127,2.0943951023931957,2.7964944327745087,5.149611169429999,0.8288288288288288
75,25.0,2.4,113.30127,2.0943951023931957,3.7523747396519953,5.175113362755,0.6866866866866866
75,25.0,3.0,143.30127,2.0943951023931957,4.708255046529483,6.17357841317,0.3863863863863864
