n [count],α [°],L [mm],H [mm],b [mm],H/2b [ ],Ls [mm],d [mm],P [ ],2π/n [rad],γ [N/mm3],δ(Pmax) [mm],max(ktan) [N/mm],γAH' [N],Nγ [ ],Vroot [mm3],F/Nroot [ ],P0 [N],DR [ ],Material,d50 [mm],φ [°],f
3,30,50.0,90.0,25.0,1.8,46.69872981077806,5.0,1.0,2.0943951023931953,1.533716814e-05,1.4675357999999992,45.39270705296628,2.27563655153591,3.124406794331406,3744.036827147881,175.9821705504986,1.2761375825402999,0.5,F110,0.12,30.8,0.7387387387387387
3,30,50.0,120.0,25.0,2.4,76.69872981077806,5.0,1.0,2.0943951023931953,1.533716814e-05,3.4734474600000023,53.80819400717241,3.179070328201449,3.6695975731738844,4333.085449695967,249.49372629246724,2.963877607438015,0.5,F110,0.12,30.8,0.5865865865865866
6,30,50.0,90.0,25.0,1.8,46.69872981077806,5.0,1.0,1.0471975511965976,1.533716814e-05,0.652940019999999,66.44101192771488,2.27563655153591,3.844625440186003,6334.878836132256,127.98436879697715,2.1346209100185054,0.5,F110,0.12,30.8,0.8368368368368369
6,30,50.0,120.0,25.0,2.4,76.69872981077806,5.0,1.0,1.0471975511965976,1.533716814e-05,1.8160415800000027,88.29412232836678,3.1790703282014485,4.832645352635988,6923.927458680342,205.62260609396682,4.339428168262558,0.5,F110,0.12,30.8,0.7397397397397397
F,30,50.0,90.0,25.0,1.8,46.69872981077806,5.0,1.0,0.0,1.533716814e-05,0.3584117800000008,72.87905550646722,2.27563655153591,5.126437591030692,20595.51473189553,52.49092577978117,5.4125326612273295,0.5,F110,0.12,30.8,0.984984984984985
3,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,2.0943951023931953,1.533716814e-05,0.9772878599999973,46.02457791241768,2.459347503145079,3.2123273948227724,3275.3384930563802,223.52279432240695,2.027310549686568,0.5,F110,0.12,30.8,0.7137137137137137
3,45,35.3553,120.0,25.0,2.4,95.0,5.0,1.0,2.0943951023931953,1.533716814e-05,1.7557394399999986,67.3165882010125,3.3627812798106187,3.8520594865606634,3864.3871156044665,310.63421404647676,2.915093458144712,0.5,F110,0.12,30.8,0.5295295295295295
6,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,1.0471975511965976,1.533716814e-05,0.5141213999999988,54.95484268686134,2.459347503145079,4.013608635406087,5107.338145807912,179.10124953121962,3.5199144222337626,0.5,F110,0.12,30.8,0.8558558558558559
6,45,35.3553,120.0,25.0,2.4,95.0,5.0,1.0,1.0471975511965976,1.533716814e-05,1.1507393799999994,142.58179899020408,3.3627812798106187,5.334525203496565,5696.386768355997,291.8322146415159,4.953991638919631,0.5,F110,0.12,30.8,0.7747747747747747
F,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,0.0,1.533716814e-05,0.2569667200000009,83.11640553753944,2.459347503145079,4.513415596812755,15206.531093064583,67.64463798912134,5.753948310536511,0.5,F110,0.12,30.8,0.934934934934935
3,60,28.8675,90.0,25.0,1.8,75.56624327025935,5.0,1.0,2.0943951023931953,1.533716814e-05,0.8386597400000012,46.76449236287756,2.565413070509715,3.406557708988247,3115.9714360432786,259.9069502289867,2.5834198705808697,0.5,F110,0.12,30.8,0.7237237237237237
6,60,28.8675,90.0,25.0,1.8,75.56624327025935,5.0,1.0,1.0471975511965976,1.533716814e-05,0.6550177399999995,92.89891643505948,2.565413070509715,3.9123116303007657,4611.793974529307,201.67829153796677,4.007754580698716,0.5,F110,0.12,30.8,0.8318318318318318
F,60,28.8675,90.0,25.0,1.8,75.56624327025935,5.0,1.0,0.0,1.533716814e-05,0.27933141999999683,86.71553270274899,2.5654130705097145,4.494157690944636,12895.55027804501,82.85219876120313,5.988126105612305,0.5,F110,0.12,30.8,0.9459459459459459
3,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,2.0943951023931953,1.533716814e-05,2.1475573000000012,98.93653776385236,2.710301329996618,2.9004847645580627,3180.700573388465,229.03596663916593,2.524893214719544,0.5,F110,0.12,30.8,0.4924924924924925
6,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,1.0471975511965976,1.533716814e-05,1.6211677000000022,95.39790353850228,2.710301329996618,3.9083492861532076,4476.121577880652,219.3044180438723,4.329685661694532,0.5,F110,0.12,30.8,0.8138138138138138
F,90,50.0,60.0,50.0,0.6,60.0,5.0,1.0,0.0,1.533716814e-05,0.1988337400000001,60.91835991030488,2.1028293246606875,7.227470213324313,40448.00541496859,34.82022172958977,10.892366253773668,0.5,F110,0.12,30.8,1.0
F,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.0,1.533716814e-05,0.31038037999999857,62.157069292217194,2.710301329996618,4.484252995780877,11584.622910112363,97.22189703084493,6.544162920408053,0.5,F110,0.12,30.8,0.972972972972973
F,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.0,1.533716814e-05,0.21421851999999836,288.38228442056766,4.865836047655062,2.710301329996618,11584.622910112363,105.49489773194998,4.950784282675,0.5,F110,0.12,30.8,1.0
F,90,50.0,90.0,50.0,0.9,90.0,5.0,1.0,0.0,1.533716814e-05,0.2778226600000014,148.43800115238477,2.778716061842152,10.841205319986472,41037.054037516675,68.02739995257885,16.834048377514243,0.5,F110,0.12,30.8,1.0
F,90,12.5,120.0,12.5,4.8,120.0,5.0,1.0,0.0,1.533716814e-05,1.9031432599999973,114.22777759621216,16.564586277849788,0.9034337766655393,4810.563750809371,288.28314401788214,1.6517054334216679,0.5,F110,0.12,30.8,1.0
F,90,25.0,120.0,25.0,2.4,120.0,5.0,1.0,0.0,1.533716814e-05,0.32510222000000455,163.14590577546008,6.246454059377551,3.613735106662157,12173.67153266045,171.83300812946098,6.534560219005002,0.5,F110,0.12,30.8,1.0
F,90,37.5,150.0,37.5,2.0,150.0,5.0,1.0,0.0,1.533716814e-05,0.9541687800000008,150.6451256100146,5.1358986019777255,10.163629987487317,25034.566458293666,193.22509053751486,18.20985232041294,0.5,F110,0.12,30.8,1.0
3,30,50.0,90.0,25.0,1.8,46.69873,5.0,1.0,2.0943951023931953,1.534730914e-05,1.028529819999996,42.65336138678852,2.277141211982902,2.5042828618879343,3744.036827147881,141.1469637174081,1.0075668964795006,0.8,GB,0.1,27.34,0.7137137137137137
6,30,50.0,90.0,25.0,1.8,46.69873,5.0,1.0,1.0471975511965976,1.534730914e-05,0.6818198200000032,77.73735993490166,2.277141211982902,3.4845766043752264,6334.878836132256,116.07534265695067,2.1080257160199998,0.8,GB,0.1,27.34,0.8658658658658659
3,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,2.0943951023931953,1.534730914e-05,0.7583500199999957,38.24275452079512,2.4609736340449784,2.599380370361816,3275.3402488696497,180.99170916477215,1.0311100153340003,0.8,GB,0.1,27.34,0.6876876876876877
6,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,1.0471975511965976,1.534730914e-05,0.49487073999999937,76.14087568612224,2.4609736340449784,3.664267371207922,5107.342198910809,163.62040622264905,2.5425167973240006,0.8,GB,0.1,27.34,0.8988988988988988
3,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,2.0943951023931953,1.534730914e-05,0.6158534799999971,49.300235598933334,2.567109332408298,2.8025219020884444,3115.9720741792867,213.9627305033985,1.3694771959365002,0.8,GB,0.1,27.34,0.7037037037037037
6,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,1.0471975511965976,1.534730914e-05,0.4502353200000003,65.8077565569344,2.567109332408298,3.896360070841784,4611.795378428524,200.9887398891002,3.8499007371230003,0.8,GB,0.1,27.34,0.953953953953954
3,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,2.0943951023931953,1.534730914e-05,0.5822568999999967,44.3720967834377,2.6448060561070537,3.169645717991648,3099.036158305483,250.67799768380627,2.6837461885675005,0.8,GB,0.1,27.34,0.7797797797797797
6,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,1.0471975511965976,1.534730914e-05,0.3940860799999959,122.6216784959103,2.6448060561070537,4.267318714007689,4440.154696707681,235.55325887841755,3.6380493443035,0.8,GB,0.1,27.34,1.0
F,90,50.0,60.0,50.0,0.6,60.0,5.0,1.0,0.0,1.534730914e-05,0.1390065799999971,112.12226850831729,2.0058864696057555,7.232249046989322,40448.00541496859,33.23693126017392,9.464497581532367,0.8,GB,0.1,27.34,1.0
F,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.0,1.534730914e-05,0.19742149999999897,125.27909858791509,4.102303697070652,2.712093392620996,11584.622910112363,88.9997639630599,5.106443276795001,0.8,GB,0.1,27.34,1.0
F,90,50.0,90.0,50.0,0.9,90.0,5.0,1.0,0.0,1.534730914e-05,0.18203925999999654,174.05744590712567,2.498881057491144,10.848373570483986,41037.054037516675,61.2170430596577,15.555964294885001,0.8,GB,0.1,27.34,1.0
F,90,12.5,120.0,12.5,4.8,120.0,5.0,1.0,0.0,1.534730914e-05,1.8341619399999964,93.17040492517472,13.448923414451604,0.9040311308736654,4810.563750809371,234.21420939419252,0.9866982773873089,0.8,GB,0.1,27.34,1.0
F,90,25.0,120.0,25.0,2.4,120.0,5.0,1.0,0.0,1.534730914e-05,0.3228390799999973,149.8086622810972,5.4418467710889535,3.6161245234946615,12173.67153266045,149.7981376746087,6.390095241273801,0.8,GB,0.1,27.34,1.0
F,90,37.5,150.0,37.5,2.0,150.0,5.0,1.0,0.0,1.534730914e-05,0.6310477599999968,135.54237782354534,4.3678012137642535,10.170350222328736,25034.566458293666,164.43603858535843,14.277479135129324,0.8,GB,0.1,27.34,1.0
3,30,50.0,90.0,25.0,1.8,46.69873,5.0,1.0,2.0943951023931953,1.513421783e-05,1.08637832,32.85910739647428,2.245524007983816,2.307179873097059,3744.036827147881,128.23227660151005,0.8045453132534996,0.55,GB,0.1,26.6,0.6936936936936937
6,30,50.0,90.0,25.0,1.8,46.69873,5.0,1.0,1.0471975511965976,1.513421783e-05,0.6010376599999983,94.14966762686522,2.245524007983816,3.1309339370157696,6334.878836132256,102.84699369523706,1.8736109867474995,0.55,GB,0.1,26.6,0.8308308308308309
3,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,2.0943951023931953,1.513421783e-05,0.6651142400000007,50.9097309279301,2.4268039896616953,2.5648483526785366,3275.3402488696497,176.10767281261468,1.238049747501,0.55,GB,0.1,26.6,0.7007007007007007
6,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,1.0471975511965976,1.513421783e-05,0.4987417000000035,51.00510408274935,2.4268039896616953,3.512977177883022,5107.342198910809,154.68684403871,1.8196757846785003,0.55,GB,0.1,26.6,0.8928928928928929
3,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,2.0943951023931953,1.513421783e-05,0.5546064599999997,59.10797280593118,2.5314660358821093,2.530092157302905,3115.9720741792867,190.48167264160404,1.4695191475124993,0.55,GB,0.1,26.6,0.6576576576576577
6,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,1.0471975511965976,1.513421783e-05,0.3750259199999949,56.25999730655614,2.5314660358821093,3.552543446486837,4611.795378428524,180.70899913433888,3.0554584308324992,0.55,GB,0.1,26.6,0.9069069069069069
3,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,2.0943951023931953,1.513421783e-05,0.5328081800000017,57.02129265403662,2.6080839713395747,2.896127983164541,3099.036158305483,225.86606410810947,2.1364661778179994,0.55,GB,0.1,26.6,0.7327327327327328
6,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,1.0471975511965976,1.513421783e-05,0.36105591999999925,91.86003023706097,2.6080839713395747,3.696002757514524,4440.154696707681,201.1842890950603,3.587045644118999,0.55,GB,0.1,26.6,0.9479479479479479
F,90,50.0,60.0,50.0,0.6,60.0,5.0,1.0,0.0,1.513421783e-05,0.14268704000000282,61.843250001241984,1.874711087323301,7.131832132883349,40448.00541496859,30.632091968622166,9.038056094468331,0.55,GB,0.1,26.6,1.0
F,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.0,1.513421783e-05,0.1865680800000013,102.85735479402425,3.845984016056384,2.6744370498312557,11584.622910112363,82.28037470447906,3.2612028117516667,0.55,GB,0.1,26.6,1.0
F,90,50.0,90.0,50.0,0.9,90.0,5.0,1.0,0.0,1.513421783e-05,0.2308275800000008,116.87399532012054,2.3689829686638175,10.697748199325023,41037.054037516675,57.22903740887465,14.040888916885978,0.55,GB,0.1,26.6,1.0
F,90,12.5,120.0,12.5,4.8,120.0,5.0,1.0,0.0,1.513421783e-05,1.4993391400000013,105.66357106994234,12.382651750017637,0.8914790166104186,4810.563750809371,212.65084724549095,0.9970258019443763,0.55,GB,0.1,26.6,1.0
F,90,25.0,120.0,25.0,2.4,120.0,5.0,1.0,0.0,1.513421783e-05,0.30348936000000204,131.43763760138975,5.0206241136670995,3.5659160664416745,12173.67153266045,136.28421350908653,6.162800577931667,0.55,GB,0.1,26.6,1.0
F,90,37.5,150.0,37.5,2.0,150.0,5.0,1.0,0.0,1.513421783e-05,0.4965699999999989,193.1545777575256,4.318887197873456,10.02913893686721,25034.566458293666,160.33699562335082,13.924232750427224,0.55,GB,0.1,26.6,1.0
3,30,50.0,90.0,25.0,1.8,46.69873,5.0,1.0,2.0943951023931953,1.675032216e-05,2.9437533200000026,33.24525328719566,2.485311826104681,3.5218313575786,3744.036827147881,216.6444850082394,0.941854496159499,0.8,O2030,0.72,34.05,0.7237237237237237
6,30,50.0,90.0,25.0,1.8,46.69873,5.0,1.0,1.0471975511965976,1.675032216e-05,1.696661579999999,85.61504543722145,2.485311826104681,5.176136185527553,6334.878836132256,188.1856811206278,2.182558413482999,0.8,O2030,0.72,34.05,0.9129129129129129
3,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,2.0943951023931953,1.675032216e-05,1.375054399999999,66.14104562122567,2.685949753242497,4.088457914338564,3275.3402488696497,310.6986032954816,1.0195258119549986,0.8,O2030,0.72,34.05,0.7687687687687688
6,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,1.0471975511965976,1.675032216e-05,1.3208863600000007,88.1395082811731,2.685949753242497,4.7314933714333804,5107.342198910809,230.5894695516082,1.6128987448349983,0.8,O2030,0.72,34.05,0.8668668668668669
3,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,2.0943951023931953,1.675032216e-05,1.3203224800000042,98.02290038332875,2.8017881144851637,4.349572972216286,3115.9720741792867,362.4321043299588,1.1801800193854992,0.8,O2030,0.72,34.05,0.7957957957957958
6,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,1.0471975511965976,1.675032216e-05,1.1391290399999996,146.29842244212912,2.8017881144851637,5.167724657662248,4611.795378428524,290.9396635160069,2.970306798549999,0.8,O2030,0.72,34.05,0.9429429429429429
3,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,2.0943951023931953,1.675032216e-05,1.5274620200000035,78.49310848872922,2.886587680380313,4.420630494332941,3099.036158305483,381.57563268960564,2.518163354979998,0.8,O2030,0.72,34.05,0.7957957957957958
6,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,1.0471975511965976,1.675032216e-05,1.4062887800000017,199.87192831262558,2.886587680380313,5.760695945137248,4440.154696707681,347.0562846714166,4.8494933561549995,0.8,O2030,0.72,34.05,1.0
F,90,50.0,60.0,50.0,0.6,60.0,5.0,1.0,0.0,1.675032216e-05,0.3465220400000015,142.42298244063005,2.4623118073269867,7.893403356467746,40448.00541496859,44.52957403132477,10.992986863077334,0.8,O2030,0.72,34.05,1.0
F,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.0,1.675032216e-05,0.40276780000000023,159.98398370360925,5.658886789396502,2.9600262586754047,11584.622910112363,133.9932666902637,4.036740682029079,0.8,O2030,0.72,34.05,1.0
F,90,50.0,90.0,50.0,0.9,90.0,5.0,1.0,0.0,1.675032216e-05,0.45504608000000046,161.53401886302586,3.078090290534187,11.840105034701619,41037.054037516675,82.29984956206027,18.040703364480002,0.8,O2030,0.72,34.05,1.0
F,90,12.5,120.0,12.5,4.8,120.0,5.0,1.0,0.0,1.675032216e-05,1.6984598999999998,108.29079108564486,20.029464966101663,0.9866754195584684,4810.563750809371,380.7027294566745,0.9089920088472234,0.8,O2030,0.72,34.05,1.0
F,90,25.0,120.0,25.0,2.4,120.0,5.0,1.0,0.0,1.675032216e-05,0.6328410000000004,129.0067404588016,7.404793595622816,3.946701678233873,12173.67153266045,222.46617388143687,6.5757571384341675,0.8,O2030,0.72,34.05,1.0
F,90,37.5,150.0,37.5,2.0,150.0,5.0,1.0,0.0,1.675032216e-05,0.8843340200000033,176.7169570291703,5.9073088741929345,11.10009847003277,25034.566458293666,242.72513060236116,18.47655778728125,0.8,O2030,0.72,34.05,1.0
3,30,62.5,112.5,31.25,1.8,58.373412,6.25,1.25,2.0943951023931953,1.675032216e-05,2.1156650600000035,175.31668135139049,4.854124660360705,3.5168210525430683,7312.571928023206,216.33627747529746,2.6133006086249995,0.8,O2030,0.72,34.05,0.7237237237237237
6,30,62.5,112.5,31.25,1.8,58.373412,6.25,1.25,1.0471975511965976,1.675032216e-05,1.6971365599999997,153.79127206703947,4.854124660360705,4.157326331706824,12372.810226820813,151.14542186127443,2.028750718749999,0.8,O2030,0.72,34.05,0.8028028028028028
3,60,36.084392,112.5,31.25,1.8,94.457804,6.25,1.25,2.0943951023931953,1.675032216e-05,1.2986156400000033,204.94718708297393,5.472242411103835,3.3581320745827803,6085.8830149056985,279.8193916228802,2.560337833969999,0.8,O2030,0.72,34.05,0.5915915915915916
6,60,36.084392,112.5,31.25,1.8,94.457804,6.25,1.25,1.0471975511965976,1.675032216e-05,1.4333753400000024,214.56472287326528,5.472242411103835,4.168968830528862,9007.412975046625,234.71033231675278,5.311445411054998,0.8,O2030,0.72,34.05,0.7607607607607607
3,30,75.0,135.0,37.5,1.8,70.048095,7.5,1.5,2.0943951023931953,1.675032216e-05,2.921198119999997,228.16862088677783,8.387927413103299,2.8801228694439933,12636.1242916241,177.16996427680905,1.779629446804999,0.8,O2030,0.72,34.05,0.6356356356356356
6,30,75.0,135.0,37.5,1.8,70.048095,7.5,1.5,1.0471975511965976,1.675032216e-05,2.209749199999998,162.20672501228242,8.387927413103299,3.702714432101813,21380.216071946365,134.61736948662613,6.040192282529999,0.8,O2030,0.72,34.05,0.7477477477477478
3,60,43.30127,135.0,37.5,1.8,113.34936,7.5,1.5,2.0943951023931953,1.675032216e-05,1.6461765399999966,233.14714943267623,9.456034886387428,3.4935744388027303,10516.405805578399,291.10525031484326,5.911702612235,0.8,O2030,0.72,34.05,0.6216216216216216
6,60,43.30127,135.0,37.5,1.8,113.34936,7.5,1.5,1.0471975511965976,1.675032216e-05,1.4596109999999969,315.23992475643036,9.456034886387428,4.4798371852251835,15564.809523687549,252.212027428743,13.863728378619,0.8,O2030,0.72,34.05,0.8198198198198198
6,60,43.30127,135.0,37.5,1.8,113.34936,7.5,1.5,1.0471975511965976,1.675032216e-05,1.5144369000000013,206.27651842250498,9.456034886387428,4.472371464881699,15564.809523687549,251.79171204981444,14.259988627163999,0.8,O2030,0.72,34.05,0.8188188188188188
3,30,87.5,157.5,43.75,1.8,81.722777,8.75,1.75,2.0943951023931953,1.675032216e-05,3.812514599999999,215.7699783270634,13.319718068029776,2.8478274328854365,20065.697370495676,175.1833194006174,6.709871935857999,0.8,O2030,0.72,34.05,0.6306306306306306
6,30,87.5,157.5,43.75,1.8,81.722777,8.75,1.75,1.0471975511965976,1.675032216e-05,2.7433143000000015,205.30412740780537,13.319718068029776,3.8114050829323842,33950.99126239631,138.56897033808463,16.836507923966497,0.8,O2030,0.72,34.05,0.7607607607607607
3,60,50.518149,157.5,43.75,1.8,132.24093,8.75,1.75,2.0943951023931953,1.675032216e-05,2.404711979999999,298.6866969313457,15.015833176068922,3.2691305756265865,16699.66302296726,272.4032607545066,12.895691107624499,0.8,O2030,0.72,34.05,0.5715715715715716
6,60,50.518149,157.5,43.75,1.8,132.24093,8.75,1.75,1.0471975511965976,1.675032216e-05,1.6759046999999998,272.08302606304335,15.015833176068924,3.1540534579163344,24716.341269673194,177.57123244725548,4.8082985615,0.8,O2030,0.72,34.05,0.5445445445445446
3,30,100.0,180.0,50.0,1.8,93.39746,10.0,2.0,2.0943951023931953,1.675032216e-05,3.8390322000000006,347.1860950378646,19.882494608837447,2.6092830157112483,29952.294617183048,160.50932534377978,13.2379906568105,0.8,O2030,0.72,34.05,0.5935935935935935
6,30,100.0,180.0,50.0,1.8,93.39746,10.0,2.0,1.0471975511965976,1.675032216e-05,2.3469625400000025,640.6793761763422,19.882494608837447,3.0976999912651424,50679.03068905805,112.62122206009539,5.760664511594999,0.8,O2030,0.72,34.05,0.6666666666666666
3,60,57.735027,180.0,50.0,1.8,151.13249,10.0,2.0,2.0943951023931953,1.675032216e-05,1.204056519999997,815.6163859204986,22.41430491588131,2.4372460241465412,24927.77678978383,203.08572910166706,15.073036600166999,0.8,O2030,0.72,34.05,0.3633633633633634
6,60,57.735027,180.0,50.0,1.8,151.13249,10.0,2.0,1.0471975511965976,1.675032216e-05,1.4768779199999997,418.6048989481677,22.41430491588131,3.0189191140255085,36894.36345939719,169.96325445293994,7.275982185605,0.8,O2030,0.72,34.05,0.5125125125125125
