n [count],α [°],L [mm],H [mm],b [mm],H/2b [ ],Ls [mm],d [mm],P [ ],2π/n [rad],γ [N/mm3],δ(Pmax) [mm],max(ktan) [N/mm],γAH' [N],Nγ [ ],Vroot [mm3],F/Nroot [ ],P0 [N],DR [ ],Material,d50 [mm],φ [°],f
2,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,3.141592653589793,1.622752809e-05,1.1538534200000015,35.06936945746117,2.602118613166494,3.6741270874363527,2627.546101587218,337.18576092311656,0.8096991781849023,0.8,F110,0.12,39.33,0.5395395395395396
3,45,35.3553,60.0,25.0,1.2,35.0,5.0,1.0,2.0943951023931953,1.622752809e-05,0.6971055400000001,14.678236483995535,1.6462383062890062,3.2700205430053524,2686.289870508294,185.70714659753932,2.2224467020370855,0.8,F110,0.12,39.33,0.8198198198198198
3,45,75.0,90.0,53.033,0.84853,36.966991411008934,5.0,1.0,2.0943951023931953,1.622752809e-05,8.375553479999999,58.16373134978814,10.369720768245529,1.44016197686507,5060.176706882071,273.49603015836374,2.2028900724478575,0.8,F110,0.12,39.33,0.6636636636636637
3,45,50.0,90.0,35.3553,1.2728,54.64466094067262,5.0,1.0,2.0943951023931953,1.622752809e-05,1.7367732600000019,71.5405919731691,4.984261161403871,2.839659680642661,3934.6553800554766,333.34864358135144,2.2809733578984113,0.8,F110,0.12,39.33,0.7087087087087087
3,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,2.0943951023931953,1.622752809e-05,1.0563707600000027,71.78183346805226,2.602118613166494,5.004374008140236,3275.3384930563802,368.43337740810796,2.3882837182303525,0.8,F110,0.12,39.33,0.7367367367367368
3,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,2.0943951023931953,1.622752809e-05,1.3005968399999983,92.6443033437328,2.602118613166494,5.637384843963455,3275.3402488696497,415.03684996633405,3.199809867169998,0.8,F110,0.12,39.33,0.8188188188188188
3,45,35.3553,120.0,25.0,2.4,95.0,5.0,1.0,2.0943951023931953,1.622752809e-05,1.8965392600000053,94.25614524406416,3.5579989200439814,6.89808309106465,3864.3871156044665,588.5615886892891,2.5346357212875668,0.8,F110,0.12,39.33,0.6216216216216216
3,45,35.355339,120.0,25.0,2.4,95.0,5.0,1.0,2.0943951023931953,1.622752809e-05,2.1102828000000025,193.79813978280785,3.5579989200439814,7.148199999769987,3864.388871417736,609.9019076808593,6.2667494334899985,0.8,F110,0.12,39.33,0.6506506506506506
3,45,35.355339,150.0,25.0,3.0,125.0,5.0,1.0,2.0943951023931953,1.622752809e-05,2.942813520000001,167.1389464738065,4.5138792269214685,9.383890546864189,4453.437493965822,881.4056189036452,6.302060238144999,0.8,F110,0.12,39.33,0.5295295295295295
6,45,35.3553,60.0,25.0,1.2,35.0,5.0,1.0,1.0471975511965976,1.622752809e-05,0.5815965000000004,25.658186090122758,1.6462383062890062,4.12339039622626,4518.289523259826,139.22313515322298,2.7395143802061104,0.8,F110,0.12,39.33,0.943943943943944
6,45,75.0,90.0,53.033,0.84853,36.966991411008934,5.0,1.0,1.0471975511965976,1.622752809e-05,5.826544099999999,97.33115446593384,10.369720768245529,2.0958855122872575,9227.441952266814,218.26877110939046,5.188169433995429,0.8,F110,0.12,39.33,0.8018018018018018
6,45,50.0,90.0,35.3553,1.2728,54.64466094067262,5.0,1.0,1.0471975511965976,1.622752809e-05,1.1793321599999995,83.61406904501555,4.984261161403871,3.743928080351473,6629.2990690700035,260.8548904159411,4.388212317555862,0.8,F110,0.12,39.33,0.8528528528528528
6,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,1.0471975511965976,1.622752809e-05,0.6030188599999988,85.08646232559526,2.602118613166494,6.294062538701505,5107.338145807912,297.1678608452223,3.7638342790548913,0.8,F110,0.12,39.33,0.8978978978978979
6,45,35.355339,90.0,25.0,1.8,65.0,5.0,1.0,1.0471975511965976,1.622752809e-05,0.85347556,164.24499884404221,2.602118613166494,6.143208541776489,5107.342198910809,290.0452102474209,5.092730638099998,0.8,F110,0.12,39.33,0.8808808808808809
6,45,35.3553,120.0,25.0,2.4,95.0,5.0,1.0,1.0471975511965976,1.622752809e-05,1.1707444199999992,180.08811722817794,3.5579989200439814,8.337585013585882,5696.386768355997,482.59734198826027,4.836938772019668,0.8,F110,0.12,39.33,0.7827827827827828
6,45,35.355339,120.0,25.0,2.4,95.0,5.0,1.0,1.0471975511965976,1.622752809e-05,1.566623739999999,120.90126735244372,3.557998920043982,8.579410442313362,5696.390821458895,496.5943642622147,7.927221218139999,0.8,F110,0.12,39.33,0.8088088088088088
6,45,35.355339,150.0,25.0,3.0,125.0,5.0,1.0,1.0471975511965976,1.622752809e-05,1.9367398399999978,499.55988157711386,4.5138792269214685,10.608928807049612,6285.439444006981,706.0315862058909,9.283650568185,0.8,F110,0.12,39.33,0.6536536536536537
9,45,50.0,90.0,35.3553,1.2728,54.64466094067262,5.0,1.0,0.6981317007977318,1.622752809e-05,0.87102696,113.51335129833213,4.984261161403871,4.180402914445543,9156.876475600595,210.86761387277866,5.5686267260298825,0.8,F110,0.12,39.33,0.913913913913914
9,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,0.6981317007977318,1.622752809e-05,0.5243144200000001,104.22798661991776,2.602118613166494,6.646471354301554,6772.271516075506,236.65853534136252,4.7296284116877265,0.8,F110,0.12,39.33,0.938938938938939
12,45,50.0,90.0,35.3553,1.2728,54.64466094067262,5.0,1.0,0.5235987755982988,1.622752809e-05,0.741174540000001,119.03211511477505,4.984261161403871,4.403534418765457,11517.387599647247,176.59829657376858,7.451502903278116,0.8,F110,0.12,39.33,0.943943943943944
12,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,0.5235987755982988,1.622752809e-05,0.4226788599999961,111.90448809311972,2.602118613166494,6.923916774587893,8270.138603859163,201.88518378487953,6.163705628373598,0.8,F110,0.12,39.33,0.968968968968969
F,45,50.0,90.0,35.3553,1.2728,54.64466094067262,5.0,1.0,0.0,1.622752809e-05,0.2883916000000022,136.98950725108423,4.984261161403871,4.791086407714096,28887.24380265261,76.60674227050777,11.373276371655887,0.8,F110,0.12,39.33,0.993993993993994
F,45,35.3553,90.0,25.0,1.8,65.0,5.0,1.0,0.0,1.622752809e-05,0.288015679999997,116.4704928543437,2.602118613166494,6.732722337393618,15206.531093064583,106.76427287760087,6.82712486477715,0.8,F110,0.12,39.33,0.9479479479479479
2,60,28.8675,90.0,25.0,1.8,75.56624327025935,5.0,1.0,3.141592653589793,1.622752809e-05,1.3268299599999969,79.92117568221205,2.714341544941135,3.867266283667493,2587.050801339838,376.01218707535025,1.6681829504858,0.8,F110,0.12,39.33,0.4904904904904905
3,60,50.0,90.0,43.3013,1.0392,65.0,5.0,1.0,2.0943951023931953,1.622752809e-05,3.2480935799999995,70.68184522085016,7.80636603968365,2.4504358050363866,4153.310604043065,426.8115246671935,3.71505057458428,0.8,F110,0.12,39.33,0.7397397397397397
3,60,28.8675,90.0,25.0,1.8,75.56624327025935,5.0,1.0,2.0943951023931953,1.622752809e-05,1.0145623600000018,78.0720183586809,2.714341544941135,5.753506532654693,3115.9714360432786,464.4531835644582,2.9053509515766893,0.8,F110,0.12,39.33,0.8238238238238238
3,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,2.0943951023931953,1.622752809e-05,1.0470261000000005,88.59418806288356,2.714341544941135,5.248575821158849,3115.9720741792867,423.6924449895587,3.4538354447799984,0.8,F110,0.12,39.33,0.7427427427427428
3,60,28.867513,120.0,25.0,2.4,105.56624,5.0,1.0,2.0943951023931953,1.622752809e-05,2.4074526399999976,124.28188194706388,3.6702218518186225,7.308827986931635,3705.0206967273725,670.9462448969181,1.6717455094900002,0.8,F110,0.12,39.33,0.6156156156156156
6,60,50.0,90.0,43.3013,1.0392,65.0,5.0,1.0,1.0471975511965976,1.622752809e-05,2.4041481000000027,84.83308707327747,7.80636603968365,3.0378016397247047,6893.940144128836,318.7712333245327,6.2710159887055354,0.8,F110,0.12,39.33,0.8668668668668669
6,60,28.8675,90.0,25.0,1.8,75.56624327025935,5.0,1.0,1.0471975511965976,1.622752809e-05,0.693519060000004,85.9462586128771,2.714341544941135,6.53343103042875,4611.793974529307,356.3479089574679,4.3589127365759195,0.8,F110,0.12,39.33,0.9409409409409409
6,60,28.867513,90.0,25.0,1.8,75.566243,5.0,1.0,1.0471975511965976,1.622752809e-05,0.9137776999999984,102.19957584728732,2.714341544941135,7.040073020438337,4611.795378428524,383.98117686812776,5.055460464774999,0.8,F110,0.12,39.33,1.0
6,60,28.867513,120.0,25.0,2.4,105.56624,5.0,1.0,1.0471975511965976,1.622752809e-05,1.7514925600000006,267.4137361644583,3.670221851818622,9.026304668949251,5200.844000976611,590.2918473111389,8.901143165599997,0.8,F110,0.12,39.33,0.8498498498498499
6,60,28.867513,150.0,25.0,3.0,135.56624,5.0,1.0,1.0471975511965976,1.622752809e-05,2.579867839999998,166.49943519936815,4.62610215869611,12.354234515829102,5789.892623524697,914.74250153826,10.380170350619998,0.8,F110,0.12,39.33,0.7987987987987988
F,60,28.8675,90.0,25.0,1.8,75.56624327025935,5.0,1.0,0.0,1.622752809e-05,0.2892399600000012,100.68530074977882,2.714341544941135,6.490280628669575,12895.55027804501,126.59786968795294,6.885651075815788,0.8,F110,0.12,39.33,0.934934934934935
3,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,2.0943951023931953,1.622752809e-05,0.8554567600000006,139.02631854456234,2.796494432774508,5.841770439060721,3099.036158305483,488.5062335008987,5.149611169429999,0.8,F110,0.12,39.33,0.8288288288288288
3,75,25.881905,120.0,25.0,2.4,113.30127,5.0,1.0,2.0943951023931953,1.622752809e-05,3.60915204,318.5757586764554,3.7523747396519953,8.065725206209525,3688.0847808535686,760.4786692948328,5.175113362755,0.8,F110,0.12,39.33,0.6866866866866866
3,75,25.881905,150.0,25.0,3.0,143.30127,5.0,1.0,2.0943951023931953,1.622752809e-05,3.592733480000002,144.8142350874302,4.708255046529483,9.707662882773441,4277.133403401655,990.2849484668388,6.17357841317,0.8,F110,0.12,39.33,0.3863863863863864
6,75,25.881905,90.0,25.0,1.8,83.30127,5.0,1.0,1.0471975511965976,1.622752809e-05,1.49037294,108.21552355961421,2.796494432774508,6.535143178827355,4440.154696707681,381.42510299663996,5.809702664919998,0.8,F110,0.12,39.33,0.9569569569569569
