,H [mm],Nγ [ ],γAH' [N],Pmax [N]
0,60.0,3.056072119469309,1.4518624866809922,4.436996466849162
1,90.0,2.307179873097059,2.245524007983816,5.1808277957765005
2,60.0,3.2700205430053524,1.6462383062890062,5.383233080247388
3,90.0,2.5042828618879343,2.277141211982902,5.702605711267501
4,60.0,3.9699096376245393,1.4518624866809922,5.7637628783804
5,60.0,0.4779401534387438,12.686553756655915,6.063413449065
6,90.0,2.5648483526785366,2.426803989661696,6.2243842151575
7,90.0,2.599380370361816,2.4609736340449784,6.3970065563145
8,90.0,2.5300921573029047,2.5314660358821093,6.404842363863999
9,60.0,4.12339039622626,1.6462383062890062,6.788083222051872
10,90.0,3.1309339370157696,2.245524007983816,7.030587322980199
11,90.0,3.1244067943314064,2.2756365515359103,7.110014303047688
12,90.0,2.8025219020884444,2.567109332408298,7.194380129129901
13,90.0,2.896127983164541,2.6080839713395747,7.553344971839449
14,90.0,2.9004847645580627,2.710301329996618,7.861187715016644
15,90.0,3.2123273948227724,2.459347503145079,7.900229357741924
16,90.0,3.4845766043752264,2.277141211982902,7.934872992134267
17,90.0,3.1696457179916475,2.6448060561070537,8.383098190658101
18,90.0,3.512977177883022,2.426803989661696,8.525307030877
19,90.0,3.406557708988247,2.565413070509715,8.739227672084079
20,90.0,3.844625440186003,2.2756365515359103,8.748970178652105
21,90.0,3.5218313575786,2.4853118261046814,8.752849122536396
22,90.0,13.881967051012698,0.6309417572476642,8.758712685220129
23,90.0,3.552543446486837,2.5314660358821093,8.993143075776997
24,90.0,3.664267371207922,2.4609736340449784,9.017665388634
25,90.0,7.178479040827641,1.2649815809964386,9.080643766215946
26,90.0,3.9140298005901264,2.4077427935584788,9.423977046144007
27,90.0,3.6741270874363527,2.602118613166494,9.560514481357332
28,90.0,3.696002757514524,2.6080839713395747,9.639485549900499
29,90.0,4.013608635406087,2.459347503145079,9.870858376087488
30,60.0,1.9117606137549752,5.1802436279630815,9.903385737595
31,90.0,3.896360070841784,2.567109332408298,10.002382300281
32,90.0,3.9123116303007657,2.565413070509715,10.036695392280755
33,90.0,2.674437049831256,3.845984016056384,10.2858421456
34,90.0,3.867266283667493,2.714341544941135,10.497081539108782
35,90.0,3.908349286153208,2.710301329996618,10.592804268352367
36,90.0,17.113596941773643,0.6309417572476642,10.797682927270913
37,90.0,4.088457914338564,2.6859497532424967,10.981392526160002
38,120.0,0.8914790166104186,12.382651750017637,11.038874205135002
39,90.0,4.513415596812755,2.459347503145079,11.100057378677503
40,90.0,2.712093392620996,4.102303697070652,11.12583075135
41,90.0,2.2732688628551454,4.900035892548349,11.139099021402783
42,90.0,4.6466270217087695,2.4077427935584788,11.187882725873392
43,90.0,4.267318714007689,2.6448060561070537,11.2862303781465
