H [mm],Nγ [ ],γAH' [N],Pmax [N]
60.0,3.056072119469309,1.4518624866809922,4.436996466849162
90.0,2.307179873097059,2.245524007983816,5.1808277957765005
60.0,3.2700205430053524,1.6462383062890062,5.383233080247388
90.0,2.5042828618879343,2.277141211982902,5.702605711267501
60.0,3.9699096376245393,1.4518624866809922,5.7637628783804
60.0,0.4779401534387438,12.686553756655915,6.063413449065
90.0,2.5648483526785366,2.4268039896616957,6.2243842151575
90.0,2.599380370361816,2.4609736340449784,6.3970065563145
90.0,2.5300921573029047,2.5314660358821093,6.404842363863999
60.0,4.1233903962262595,1.6462383062890062,6.788083222051872
90.0,3.1309339370157696,2.245524007983816,7.030587322980199
90.0,3.1244067943314064,2.2756365515359103,7.110014303047688
90.0,2.8025219020884444,2.567109332408298,7.194380129129901
90.0,2.8961279831645412,2.6080839713395747,7.553344971839449
90.0,2.9004847645580627,2.710301329996618,7.861187715016644
90.0,3.2123273948227724,2.459347503145079,7.900229357741924
90.0,3.4845766043752264,2.277141211982902,7.934872992134268
90.0,3.1696457179916475,2.6448060561070537,8.383098190658101
90.0,3.512977177883022,2.4268039896616957,8.525307030877
90.0,3.406557708988247,2.565413070509715,8.739227672084079
90.0,3.844625440186003,2.2756365515359103,8.748970178652105
90.0,3.5218313575786,2.4853118261046814,8.752849122536396
90.0,13.881967051012698,0.6309417572476642,8.758712685220129
90.0,3.552543446486837,2.5314660358821093,8.993143075776997
90.0,3.664267371207922,2.4609736340449784,9.017665388634
90.0,7.178479040827641,1.2649815809964386,9.080643766215946
90.0,3.9140298005901264,2.4077427935584788,9.423977046144007
90.0,3.6741270874363527,2.602118613166494,9.560514481357332
90.0,3.696002757514524,2.6080839713395747,9.639485549900499
90.0,4.013608635406087,2.459347503145079,9.870858376087488
60.0,1.9117606137549752,5.1802436279630815,9.903385737595
90.0,3.896360070841784,2.567109332408298,10.002382300281
90.0,3.9123116303007657,2.565413070509715,10.036695392280755
90.0,2.674437049831256,3.845984016056384,10.2858421456
90.0,3.867266283667493,2.714341544941135,10.497081539108782
90.0,3.908349286153208,2.710301329996618,10.592804268352369
