predict,truth
5.702605711,6.683519508
6.788083222000001,7.345823311
8.748970179,7.382694672
6.404842363999999,8.178266337
9.63948555,9.123595208
7.934872992000001,9.223282894
7.861187715,9.319324989
11.52937088,10.53562343
6.063413449,10.56351603
12.05044388,11.53901575
11.12583075,11.67217215
13.18788191,11.70208378
10.49708154,12.10507402
9.903385737999999,13.09337226
12.18658186,13.59666157
13.89020059,15.38028712
16.46572263,16.2890037
17.48030047,17.18451804
18.01685272,17.254801899999997
17.61683835,17.47761441
17.4608159,17.68559481
15.19813631,18.08290127
13.37012477,18.30644393
17.90312419,19.30821585
21.94836558,21.85317698
29.22451131,23.0440133
20.18018027,23.73339046
25.34278329,24.33803385
26.36772349,25.11742521
30.12463135,26.25502255
25.43328788,27.43103856
36.43282565,29.38449769
23.01956829,30.032196999999996
35.8835797,32.91362369
47.88742336,37.98273055
14.93407756,38.37999244
46.46724392,38.58014992
42.2909006,43.53687234
52.19937304,45.12502238
42.35774861,45.20336564
50.76684115,46.40513717
36.44491235,49.21638906
51.87905549,49.26247185
36.89477084,54.88199277
66.92157596,70.03549044
